alg,fitness
RANDOMSEARCH,-3.64973
RANDOMSEARCH,-3.67826
RANDOMSEARCH,-3.6168
RANDOMSEARCH,-3.62594
RANDOMSEARCH,-3.64526
RANDOMSEARCH,-3.56975
RANDOMSEARCH,-3.55311
RANDOMSEARCH,-3.67341
RANDOMSEARCH,-3.64422
RANDOMSEARCH,-3.73552
RANDOMSEARCH,-3.61925
RANDOMSEARCH,-3.65857
RANDOMSEARCH,-3.63587
RANDOMSEARCH,-3.6702
RANDOMSEARCH,-3.70867
RANDOMSEARCH,-3.65878
RANDOMSEARCH,-3.65946
RANDOMSEARCH,-3.70084
RANDOMSEARCH,-3.69007
RANDOMSEARCH,-3.64092
RANDOMSEARCH,-3.60444
RANDOMSEARCH,-3.61876
RANDOMSEARCH,-3.63889
RANDOMSEARCH,-3.58619
RANDOMSEARCH,-3.65427
RANDOMSEARCH,-3.66616
RANDOMSEARCH,-3.65539
RANDOMSEARCH,-3.71753
RANDOMSEARCH,-3.70222
RANDOMSEARCH,-3.64787
RANDOMSEARCH,-3.64523
RANDOMSEARCH,-3.69863
RANDOMSEARCH,-3.59409
RANDOMSEARCH,-3.6069
RANDOMSEARCH,-3.67254
RANDOMSEARCH,-3.62183
RANDOMSEARCH,-3.64472
RANDOMSEARCH,-3.59697
RANDOMSEARCH,-3.58935
RANDOMSEARCH,-3.61708
RANDOMSEARCH,-3.653
RANDOMSEARCH,-3.71994
RANDOMSEARCH,-3.70435
RANDOMSEARCH,-3.6364
RANDOMSEARCH,-3.66897
RANDOMSEARCH,-3.68368
RANDOMSEARCH,-3.7275
RANDOMSEARCH,-3.54577
RANDOMSEARCH,-3.58956
RANDOMSEARCH,-3.66466
GREEDYSEARCH,-3.37014
LOCALSEARCH,-3.48623
LOCALSEARCH,-3.47026
LOCALSEARCH,-3.65436
LOCALSEARCH,-3.27447
LOCALSEARCH,-3.58378
LOCALSEARCH,-3.51083
LOCALSEARCH,-3.49288
LOCALSEARCH,-3.58991
LOCALSEARCH,-3.39137
LOCALSEARCH,-3.60262
LOCALSEARCH,-3.8011
LOCALSEARCH,-3.35104
LOCALSEARCH,-3.30651
LOCALSEARCH,-3.34306
LOCALSEARCH,-3.23441
LOCALSEARCH,-3.58341
LOCALSEARCH,-3.30724
LOCALSEARCH,-3.21172
LOCALSEARCH,-3.28661
LOCALSEARCH,-3.73855
LOCALSEARCH,-3.39026
LOCALSEARCH,-3.40821
LOCALSEARCH,-3.36581
LOCALSEARCH,-3.40423
LOCALSEARCH,-3.30848
LOCALSEARCH,-3.38537
LOCALSEARCH,-3.31575
LOCALSEARCH,-3.32799
LOCALSEARCH,-3.59169
LOCALSEARCH,-3.35742
LOCALSEARCH,-3.55355
LOCALSEARCH,-3.41764
LOCALSEARCH,-3.42269
LOCALSEARCH,-3.56132
LOCALSEARCH,-3.36884
LOCALSEARCH,-3.71509
LOCALSEARCH,-3.3201
LOCALSEARCH,-3.16963
LOCALSEARCH,-3.51508
LOCALSEARCH,-3.17098
LOCALSEARCH,-3.31506
LOCALSEARCH,-3.44261
LOCALSEARCH,-3.54432
LOCALSEARCH,-3.30873
LOCALSEARCH,-3.52219
LOCALSEARCH,-3.31973
LOCALSEARCH,-3.8
LOCALSEARCH,-3.33131
LOCALSEARCH,-3.24829
LOCALSEARCH,-3.28921
LOCALSEARCHBEST,-4.08176
LOCALSEARCHBEST,-4.1531
LOCALSEARCHBEST,-4.28937
LOCALSEARCHBEST,-4.23792
LOCALSEARCHBEST,-4.38524
LOCALSEARCHBEST,-4.12754
LOCALSEARCHBEST,-4.09661
LOCALSEARCHBEST,-4.62913
LOCALSEARCHBEST,-4.32163
LOCALSEARCHBEST,-4.28617
LOCALSEARCHBEST,-4.48558
LOCALSEARCHBEST,-4.23556
LOCALSEARCHBEST,-4.16411
LOCALSEARCHBEST,-4.29756
LOCALSEARCHBEST,-4.213
LOCALSEARCHBEST,-4.14465
LOCALSEARCHBEST,-3.94507
LOCALSEARCHBEST,-4.17982
LOCALSEARCHBEST,-4.22248
LOCALSEARCHBEST,-4.25805
LOCALSEARCHBEST,-4.3203
LOCALSEARCHBEST,-4.47625
LOCALSEARCHBEST,-4.32016
LOCALSEARCHBEST,-4.08968
LOCALSEARCHBEST,-4.32518
LOCALSEARCHBEST,-4.52761
LOCALSEARCHBEST,-4.25312
LOCALSEARCHBEST,-4.20467
LOCALSEARCHBEST,-4.41948
LOCALSEARCHBEST,-4.34897
LOCALSEARCHBEST,-4.32539
LOCALSEARCHBEST,-4.43596
LOCALSEARCHBEST,-4.17056
LOCALSEARCHBEST,-4.18443
LOCALSEARCHBEST,-4.29772
LOCALSEARCHBEST,-4.28401
LOCALSEARCHBEST,-4.17529
LOCALSEARCHBEST,-3.96246
LOCALSEARCHBEST,-4.41759
LOCALSEARCHBEST,-3.94548
LOCALSEARCHBEST,-4.08027
LOCALSEARCHBEST,-4.68889
LOCALSEARCHBEST,-4.06994
LOCALSEARCHBEST,-4.33504
LOCALSEARCHBEST,-4.80743
LOCALSEARCHBEST,-4.27428
LOCALSEARCHBEST,-4.52985
LOCALSEARCHBEST,-4.17763
LOCALSEARCHBEST,-4.09204
LOCALSEARCHBEST,-4.28958
LOCALSEARCHMULTI,-3.48623
LOCALSEARCHMULTI,-3.47026
LOCALSEARCHMULTI,-3.19239
LOCALSEARCHMULTI,-3.27447
LOCALSEARCHMULTI,-3.33807
LOCALSEARCHMULTI,-3.51083
LOCALSEARCHMULTI,-3.49288
LOCALSEARCHMULTI,-3.58991
LOCALSEARCHMULTI,-3.39137
LOCALSEARCHMULTI,-3.60262
LOCALSEARCHMULTI,-3.10229
LOCALSEARCHMULTI,-3.35104
LOCALSEARCHMULTI,-3.30651
LOCALSEARCHMULTI,-3.34306
LOCALSEARCHMULTI,-3.23441
LOCALSEARCHMULTI,-3.58341
LOCALSEARCHMULTI,-3.30724
LOCALSEARCHMULTI,-3.21172
LOCALSEARCHMULTI,-3.28661
LOCALSEARCHMULTI,-3.415
LOCALSEARCHMULTI,-3.39026
LOCALSEARCHMULTI,-3.40821
LOCALSEARCHMULTI,-3.36581
LOCALSEARCHMULTI,-3.40423
LOCALSEARCHMULTI,-3.30848
LOCALSEARCHMULTI,-3.38537
LOCALSEARCHMULTI,-3.31575
LOCALSEARCHMULTI,-3.32799
LOCALSEARCHMULTI,-3.59169
LOCALSEARCHMULTI,-3.35742
LOCALSEARCHMULTI,-3.55355
LOCALSEARCHMULTI,-3.41764
LOCALSEARCHMULTI,-3.42269
LOCALSEARCHMULTI,-3.56132
LOCALSEARCHMULTI,-3.36884
LOCALSEARCHMULTI,-3.56761
LOCALSEARCHMULTI,-3.3201
LOCALSEARCHMULTI,-3.16963
LOCALSEARCHMULTI,-3.51508
LOCALSEARCHMULTI,-3.17098
LOCALSEARCHMULTI,-3.31506
LOCALSEARCHMULTI,-3.44261
LOCALSEARCHMULTI,-3.54432
LOCALSEARCHMULTI,-3.30873
LOCALSEARCHMULTI,-3.22507
LOCALSEARCHMULTI,-3.31973
LOCALSEARCHMULTI,-3.8
LOCALSEARCHMULTI,-3.33131
LOCALSEARCHMULTI,-3.24829
LOCALSEARCHMULTI,-3.28921
AGG-ARIT,-2.91706
AGG-ARIT,-3.0345
AGG-ARIT,-2.94866
AGG-ARIT,-2.95154
AGG-ARIT,-2.86623
AGG-ARIT,-3.10418
AGG-ARIT,-2.97918
AGG-ARIT,-2.91157
AGG-ARIT,-2.90537
AGG-ARIT,-2.90379
AGG-ARIT,-2.87268
AGG-ARIT,-2.84482
AGG-ARIT,-2.93462
AGG-ARIT,-2.95069
AGG-ARIT,-2.97446
AGG-ARIT,-2.97606
AGG-ARIT,-3.02509
AGG-ARIT,-2.94261
AGG-ARIT,-3.05259
AGG-ARIT,-2.92756
AGG-ARIT,-2.89095
AGG-ARIT,-2.95963
AGG-ARIT,-2.97623
AGG-ARIT,-3.00658
AGG-ARIT,-2.99992
AGG-ARIT,-3.22922
AGG-ARIT,-3.0578
AGG-ARIT,-2.84232
AGG-ARIT,-2.99843
AGG-ARIT,-2.90192
AGG-ARIT,-2.98073
AGG-ARIT,-3.08447
AGG-ARIT,-2.89347
AGG-ARIT,-3.08347
AGG-ARIT,-3.00011
AGG-ARIT,-2.89728
AGG-ARIT,-2.92867
AGG-ARIT,-2.97184
AGG-ARIT,-3.01202
AGG-ARIT,-2.9634
AGG-ARIT,-2.96124
AGG-ARIT,-3.17571
AGG-ARIT,-2.93377
AGG-ARIT,-3.06146
AGG-ARIT,-2.92318
AGG-ARIT,-2.90555
AGG-ARIT,-3.1729
AGG-ARIT,-2.92238
AGG-ARIT,-2.97518
AGG-ARIT,-2.95098
AGG-BLX,-2.7948
AGG-BLX,-2.74932
AGG-BLX,-2.82091
AGG-BLX,-2.89708
AGG-BLX,-2.78575
AGG-BLX,-2.79607
AGG-BLX,-2.78643
AGG-BLX,-2.75832
AGG-BLX,-2.729
AGG-BLX,-2.79066
AGG-BLX,-2.78308
AGG-BLX,-2.81491
AGG-BLX,-2.78772
AGG-BLX,-2.76523
AGG-BLX,-2.84684
AGG-BLX,-2.80185
AGG-BLX,-2.81213
AGG-BLX,-2.82682
AGG-BLX,-2.84769
AGG-BLX,-2.83618
AGG-BLX,-2.74144
AGG-BLX,-2.7943
AGG-BLX,-2.79626
AGG-BLX,-2.85573
AGG-BLX,-2.84041
AGG-BLX,-2.94913
AGG-BLX,-2.91812
AGG-BLX,-2.82047
AGG-BLX,-2.75248
AGG-BLX,-2.80246
AGG-BLX,-2.89234
AGG-BLX,-2.83168
AGG-BLX,-2.7367
AGG-BLX,-2.86527
AGG-BLX,-2.85978
AGG-BLX,-2.79634
AGG-BLX,-2.79484
AGG-BLX,-2.77115
AGG-BLX,-2.71197
AGG-BLX,-2.81179
AGG-BLX,-2.80083
AGG-BLX,-2.85445
AGG-BLX,-2.79333
AGG-BLX,-2.75884
AGG-BLX,-2.83739
AGG-BLX,-2.8059
AGG-BLX,-2.79698
AGG-BLX,-2.83519
AGG-BLX,-2.66356
AGG-BLX,-2.74581
AGE-ARIT,-3.24643
AGE-ARIT,-3.18161
AGE-ARIT,-3.31723
AGE-ARIT,-3.21696
AGE-ARIT,-3.19978
AGE-ARIT,-3.21335
AGE-ARIT,-3.13394
AGE-ARIT,-3.15062
AGE-ARIT,-3.237
AGE-ARIT,-3.33218
AGE-ARIT,-3.26533
AGE-ARIT,-3.20444
