funcid,dim,milestone,error
8,50,1,5.201701e+02
8,50,2,4.418791e+02
8,50,3,4.139852e+02
8,50,5,3.874187e+02
8,50,10,3.874187e+02
8,50,20,3.711468e+02
8,50,30,3.683355e+02
8,50,40,3.683355e+02
8,50,50,3.533703e+02
8,50,60,3.409471e+02
8,50,70,2.213790e+02
8,50,80,6.268236e+01
8,50,90,6.268236e+01
8,50,100,6.268236e+01
8,50,1,4.726687e+02
8,50,2,4.339964e+02
8,50,3,3.979331e+02
8,50,5,3.979331e+02
8,50,10,3.979331e+02
8,50,20,3.935994e+02
8,50,30,3.551431e+02
8,50,40,3.329384e+02
8,50,50,6.743472e+01
8,50,60,3.979835e+01
8,50,70,3.979835e+01
8,50,80,3.979835e+01
8,50,90,3.979835e+01
8,50,100,3.979835e+01
8,50,1,5.013026e+02
8,50,2,4.452305e+02
8,50,3,4.340628e+02
8,50,5,4.086066e+02
8,50,10,3.842977e+02
8,50,20,3.691208e+02
8,50,30,3.344590e+02
8,50,40,3.344590e+02
8,50,50,3.344590e+02
8,50,60,3.047986e+02
8,50,70,8.217945e+01
8,50,80,3.880338e+01
8,50,90,3.880338e+01
8,50,100,3.880338e+01
8,50,1,5.238778e+02
8,50,2,4.286325e+02
8,50,3,4.232387e+02
8,50,5,3.828888e+02
8,50,10,3.828888e+02
8,50,20,3.828888e+02
8,50,30,3.476386e+02
8,50,40,3.476386e+02
8,50,50,3.476386e+02
8,50,60,3.476386e+02
8,50,70,6.857267e+01
8,50,80,5.094494e+01
8,50,90,5.094494e+01
8,50,100,5.094494e+01
8,50,1,5.163586e+02
8,50,2,4.421712e+02
8,50,3,4.299254e+02
8,50,5,4.273859e+02
8,50,10,4.237463e+02
8,50,20,4.035415e+02
8,50,30,3.662442e+02
8,50,40,3.560813e+02
8,50,50,3.438186e+02
8,50,60,3.423733e+02
8,50,70,3.199383e+02
8,50,80,3.583160e+01
8,50,90,3.581851e+01
8,50,100,3.581851e+01
8,50,1,4.981060e+02
8,50,2,4.981060e+02
8,50,3,4.736267e+02
8,50,5,4.331048e+02
8,50,10,3.564773e+02
8,50,20,3.564773e+02
8,50,30,3.564773e+02
8,50,40,3.219101e+02
8,50,50,3.219101e+02
8,50,60,3.142467e+02
8,50,70,6.177601e+01
8,50,80,5.870252e+01
8,50,90,5.870252e+01
8,50,100,5.870252e+01
8,50,1,5.051114e+02
8,50,2,4.527618e+02
8,50,3,4.458660e+02
8,50,5,4.169084e+02
8,50,10,3.998793e+02
8,50,20,3.702988e+02
8,50,30,3.484284e+02
8,50,40,3.484284e+02
8,50,50,3.484284e+02
8,50,60,3.234798e+02
8,50,70,6.974418e+01
8,50,80,6.467227e+01
8,50,90,6.467227e+01
8,50,100,6.467227e+01
8,50,1,4.570517e+02
8,50,2,4.124211e+02
8,50,3,4.124211e+02
8,50,5,4.124211e+02
8,50,10,4.124211e+02
8,50,20,3.876337e+02
8,50,30,3.850845e+02
8,50,40,2.793721e+02
8,50,50,6.618309e+01
8,50,60,6.566722e+01
8,50,70,6.566722e+01
8,50,80,6.566722e+01
8,50,90,6.566722e+01
8,50,100,6.566722e+01
8,50,1,4.876379e+02
8,50,2,4.433602e+02
8,50,3,4.433602e+02
8,50,5,4.433602e+02
8,50,10,4.277377e+02
8,50,20,3.972656e+02
8,50,30,3.469358e+02
8,50,40,1.985895e+02
8,50,50,4.775802e+01
8,50,60,4.775801e+01
8,50,70,4.775801e+01
8,50,80,4.775801e+01
8,50,90,4.775801e+01
8,50,100,4.775801e+01
8,50,1,4.787987e+02
8,50,2,4.749278e+02
8,50,3,4.540269e+02
8,50,5,4.228847e+02
8,50,10,3.401547e+02
8,50,20,3.401547e+02
8,50,30,3.401547e+02
8,50,40,3.401547e+02
8,50,50,3.401547e+02
8,50,60,3.401547e+02
8,50,70,3.097105e+02
8,50,80,5.437568e+01
8,50,90,5.437565e+01
8,50,100,5.437565e+01
8,50,1,5.022576e+02
8,50,2,4.425925e+02
8,50,3,4.320516e+02
8,50,5,4.230815e+02
8,50,10,4.097121e+02
8,50,20,3.677408e+02
8,50,30,3.530842e+02
8,50,40,3.173512e+02
8,50,50,4.378620e+01
8,50,60,4.377817e+01
8,50,70,4.377817e+01
8,50,80,4.377817e+01
8,50,90,4.377817e+01
8,50,100,4.377817e+01
8,50,1,4.599202e+02
8,50,2,4.536115e+02
8,50,3,4.090403e+02
8,50,5,4.090403e+02
8,50,10,3.878398e+02
8,50,20,3.878398e+02
8,50,30,3.878398e+02
8,50,40,1.644079e+02
8,50,50,4.775798e+01
8,50,60,4.775798e+01
8,50,70,4.775798e+01
8,50,80,4.775798e+01
8,50,90,4.775798e+01
8,50,100,4.775798e+01
8,50,1,4.750555e+02
8,50,2,4.399775e+02
8,50,3,4.399775e+02
8,50,5,3.958749e+02
8,50,10,3.958749e+02
8,50,20,3.801493e+02
8,50,30,3.801493e+02
8,50,40,3.801493e+02
8,50,50,3.716448e+02
8,50,60,3.439927e+02
8,50,70,3.257752e+02
8,50,80,1.635285e+02
8,50,90,4.278320e+01
