funcid,dim,milestone,error
11,30,1,8.471789e+03
11,30,2,6.162091e+03
11,30,3,3.760845e+03
11,30,5,3.006161e+03
11,30,10,2.872746e+03
11,30,20,2.842189e+03
11,30,30,2.788670e+03
11,30,40,2.768665e+03
11,30,50,2.747100e+03
11,30,60,2.728889e+03
11,30,70,2.712899e+03
11,30,80,2.699992e+03
11,30,90,2.683360e+03
11,30,100,2.672392e+03
11,30,1,7.292219e+03
11,30,2,6.355109e+03
11,30,3,5.932598e+03
11,30,5,5.186950e+03
11,30,10,4.330945e+03
11,30,20,2.404111e+03
11,30,30,2.372534e+03
11,30,40,2.349327e+03
11,30,50,2.276380e+03
11,30,60,2.243581e+03
11,30,70,2.216377e+03
11,30,80,2.198914e+03
11,30,90,2.176715e+03
11,30,100,2.159436e+03
11,30,1,9.365399e+03
11,30,2,6.762257e+03
11,30,3,4.929569e+03
11,30,5,4.882708e+03
11,30,10,3.951592e+03
11,30,20,3.733311e+03
11,30,30,2.603574e+03
11,30,40,2.570779e+03
11,30,50,2.328472e+03
11,30,60,2.290736e+03
11,30,70,2.266086e+03
11,30,80,2.245301e+03
11,30,90,2.221373e+03
11,30,100,2.153514e+03
11,30,1,8.666766e+03
11,30,2,4.295585e+03
11,30,3,3.969632e+03
11,30,5,3.558899e+03
11,30,10,3.439128e+03
11,30,20,3.330279e+03
11,30,30,3.292289e+03
11,30,40,3.222563e+03
11,30,50,3.197345e+03
11,30,60,3.151470e+03
11,30,70,3.109397e+03
11,30,80,3.072911e+03
11,30,90,3.052139e+03
11,30,100,3.027300e+03
11,30,1,7.348631e+03
11,30,2,6.751300e+03
11,30,3,5.617057e+03
11,30,5,3.387939e+03
11,30,10,3.118325e+03
11,30,20,3.001323e+03
11,30,30,2.813395e+03
11,30,40,2.769796e+03
11,30,50,2.731304e+03
11,30,60,2.715526e+03
11,30,70,2.699322e+03
11,30,80,2.682948e+03
11,30,90,2.671456e+03
11,30,100,2.657717e+03
11,30,1,6.875362e+03
11,30,2,6.677568e+03
11,30,3,4.663914e+03
11,30,5,4.411863e+03
11,30,10,4.032550e+03
11,30,20,3.242313e+03
11,30,30,2.661114e+03
11,30,40,2.565305e+03
11,30,50,2.470135e+03
11,30,60,2.398561e+03
11,30,70,2.338313e+03
11,30,80,2.301311e+03
11,30,90,2.256081e+03
11,30,100,2.225059e+03
11,30,1,4.595695e+03
11,30,2,4.315384e+03
11,30,3,3.924022e+03
11,30,5,2.993448e+03
11,30,10,2.757401e+03
11,30,20,2.021326e+03
11,30,30,1.903908e+03
11,30,40,1.880470e+03
11,30,50,1.859095e+03
11,30,60,1.846125e+03
11,30,70,1.834279e+03
11,30,80,1.819475e+03
11,30,90,1.799299e+03
11,30,100,1.781328e+03
11,30,1,7.142264e+03
11,30,2,6.124865e+03
11,30,3,5.297228e+03
11,30,5,4.593371e+03
11,30,10,3.295003e+03
11,30,20,2.749471e+03
11,30,30,2.266730e+03
11,30,40,2.232174e+03
11,30,50,2.209770e+03
11,30,60,2.200142e+03
11,30,70,2.172265e+03
11,30,80,2.160691e+03
11,30,90,2.130853e+03
11,30,100,2.116711e+03
11,30,1,8.006503e+03
11,30,2,5.096925e+03
11,30,3,4.113828e+03
11,30,5,3.508374e+03
11,30,10,2.864429e+03
11,30,20,2.035586e+03
11,30,30,1.995793e+03
