funcid,dim,milestone,error
8,30,1,3.380577e+02
8,30,2,2.945941e+02
8,30,3,2.867825e+02
8,30,5,2.731023e+02
8,30,10,2.356773e+02
8,30,20,2.317657e+02
8,30,30,2.262338e+02
8,30,40,2.239443e+02
8,30,50,2.219158e+02
8,30,60,2.200529e+02
8,30,70,2.175808e+02
8,30,80,2.151106e+02
8,30,90,2.131602e+02
8,30,100,2.119184e+02
8,30,1,3.365406e+02
8,30,2,3.197504e+02
8,30,3,2.890370e+02
8,30,5,2.389480e+02
8,30,10,2.314726e+02
8,30,20,2.270873e+02
8,30,30,2.240807e+02
8,30,40,2.212709e+02
8,30,50,2.192683e+02
8,30,60,2.152147e+02
8,30,70,2.129823e+02
8,30,80,2.107256e+02
8,30,90,2.078845e+02
8,30,100,2.048697e+02
8,30,1,3.494129e+02
8,30,2,3.280988e+02
8,30,3,3.065353e+02
8,30,5,2.762579e+02
8,30,10,2.633193e+02
8,30,20,2.593845e+02
8,30,30,2.498585e+02
8,30,40,2.425611e+02
8,30,50,2.388537e+02
8,30,60,2.338306e+02
8,30,70,2.314357e+02
8,30,80,2.276135e+02
8,30,90,2.261858e+02
8,30,100,2.234768e+02
8,30,1,3.474841e+02
8,30,2,3.249580e+02
8,30,3,3.068908e+02
8,30,5,2.727502e+02
8,30,10,2.618006e+02
8,30,20,2.431940e+02
8,30,30,2.382931e+02
8,30,40,2.351080e+02
8,30,50,2.319108e+02
8,30,60,2.275141e+02
8,30,70,2.240669e+02
8,30,80,2.187555e+02
8,30,90,2.152187e+02
8,30,100,2.105524e+02
8,30,1,3.835922e+02
8,30,2,3.393810e+02
8,30,3,3.343877e+02
8,30,5,2.956875e+02
8,30,10,2.480316e+02
8,30,20,2.315069e+02
8,30,30,2.258615e+02
8,30,40,2.240120e+02
8,30,50,2.225915e+02
8,30,60,2.209848e+02
8,30,70,2.191183e+02
8,30,80,2.174093e+02
8,30,90,2.159648e+02
8,30,100,2.138135e+02
8,30,1,3.485307e+02
8,30,2,3.367626e+02
8,30,3,2.745432e+02
8,30,5,2.456963e+02
8,30,10,2.214678e+02
8,30,20,2.154009e+02
8,30,30,2.139056e+02
8,30,40,2.114239e+02
8,30,50,2.086665e+02
8,30,60,2.069384e+02
8,30,70,2.053112e+02
8,30,80,2.024453e+02
8,30,90,2.010559e+02
8,30,100,1.980774e+02
8,30,1,3.829233e+02
8,30,2,3.386789e+02
8,30,3,3.162711e+02
8,30,5,2.720265e+02
8,30,10,2.427034e+02
8,30,20,2.140094e+02
8,30,30,2.106970e+02
