funcid,dim,milestone,error
19,50,1,4.751853e+09
19,50,2,3.274891e+09
19,50,3,2.405244e+08
19,50,5,1.981955e+08
19,50,10,1.023633e+08
19,50,20,5.217001e+07
19,50,30,4.501042e+07
19,50,40,4.045592e+07
19,50,50,3.281797e+07
19,50,60,2.929273e+07
19,50,70,2.685909e+07
19,50,80,2.309988e+07
19,50,90,1.906247e+07
19,50,100,1.625411e+07
19,50,1,2.184125e+09
19,50,2,1.821203e+09
19,50,3,6.060330e+08
19,50,5,5.075881e+08
19,50,10,1.727459e+08
19,50,20,8.359709e+07
19,50,30,4.646133e+07
19,50,40,4.139727e+07
19,50,50,3.716024e+07
19,50,60,3.379671e+07
19,50,70,3.207587e+07
19,50,80,2.477068e+07
19,50,90,2.122846e+07
19,50,100,1.831627e+07
19,50,1,6.340083e+09
19,50,2,2.422409e+09
19,50,3,1.260094e+09
19,50,5,5.822577e+08
19,50,10,2.595857e+08
19,50,20,1.543909e+08
19,50,30,1.227553e+08
19,50,40,1.108904e+08
19,50,50,7.881190e+07
19,50,60,7.265311e+07
19,50,70,6.538268e+07
19,50,80,6.006857e+07
19,50,90,5.207963e+07
19,50,100,4.458332e+07
19,50,1,3.790514e+09
19,50,2,1.173735e+09
19,50,3,1.163207e+09
19,50,5,8.137058e+08
19,50,10,1.696785e+08
19,50,20,1.232125e+08
19,50,30,7.058070e+07
19,50,40,4.350660e+07
19,50,50,3.623384e+07
19,50,60,3.099267e+07
19,50,70,2.734763e+07
19,50,80,2.509498e+07
19,50,90,2.037612e+07
19,50,100,1.781027e+07
19,50,1,2.938933e+09
19,50,2,2.001003e+09
19,50,3,1.406450e+09
19,50,5,5.995855e+08
19,50,10,7.331746e+07
19,50,20,3.980239e+07
19,50,30,3.337517e+07
19,50,40,3.110142e+07
19,50,50,2.885730e+07
19,50,60,2.637962e+07
19,50,70,2.480868e+07
19,50,80,2.213693e+07
19,50,90,2.035798e+07
19,50,100,1.859789e+07
19,50,1,3.335831e+09
