funcid,dim,milestone,error
7,10,1,1.602670e+02
7,10,2,8.585637e+01
7,10,3,8.393011e+01
7,10,5,7.365742e+01
7,10,10,6.827873e+01
7,10,20,6.787446e+01
7,10,30,6.787434e+01
7,10,40,6.230301e+01
7,10,50,6.149990e+01
7,10,60,6.149962e+01
7,10,70,6.149961e+01
7,10,80,6.149961e+01
7,10,90,6.149961e+01
7,10,100,6.149961e+01
7,10,1,9.630790e+01
7,10,2,9.048609e+01
7,10,3,9.034474e+01
7,10,5,7.367205e+01
7,10,10,6.531785e+01
7,10,20,6.457755e+01
7,10,30,6.457728e+01
7,10,40,4.770309e+01
7,10,50,4.766632e+01
7,10,60,4.766626e+01
7,10,70,4.766625e+01
7,10,80,4.766625e+01
7,10,90,4.766625e+01
7,10,100,4.766625e+01
7,10,1,9.865660e+01
7,10,2,7.056027e+01
7,10,3,6.948767e+01
7,10,5,6.536343e+01
7,10,10,6.436675e+01
7,10,20,6.435928e+01
7,10,30,6.435920e+01
7,10,40,6.435920e+01
7,10,50,6.435920e+01
7,10,60,6.435920e+01
7,10,70,6.435920e+01
7,10,80,6.435920e+01
7,10,90,6.435920e+01
7,10,100,6.435920e+01
7,10,1,1.135412e+02
7,10,2,9.100621e+01
7,10,3,8.768891e+01
7,10,5,8.079302e+01
7,10,10,6.127901e+01
7,10,20,5.151582e+01
7,10,30,5.150651e+01
7,10,40,5.150644e+01
7,10,50,5.150644e+01
7,10,60,5.150644e+01
7,10,70,5.150644e+01
7,10,80,5.150644e+01
7,10,90,5.150644e+01
7,10,100,5.150644e+01
7,10,1,1.512084e+02
7,10,2,1.132548e+02
7,10,3,1.129687e+02
7,10,5,8.381404e+01
7,10,10,8.139268e+01
7,10,20,6.430579e+01
7,10,30,6.191375e+01
7,10,40,6.187678e+01
7,10,50,6.187670e+01
7,10,60,6.187670e+01
7,10,70,6.187670e+01
7,10,80,6.187670e+01
7,10,90,6.187670e+01
7,10,100,6.187670e+01
7,10,1,1.103875e+02
7,10,2,5.933002e+01
7,10,3,5.895412e+01
7,10,5,3.866594e+01
7,10,10,3.702355e+01
7,10,20,3.698583e+01
7,10,30,3.698569e+01
7,10,40,3.698569e+01
7,10,50,3.698568e+01
7,10,60,3.698568e+01
7,10,70,3.698568e+01
7,10,80,3.698568e+01
7,10,90,3.698568e+01
7,10,100,3.698568e+01
7,10,1,1.269853e+02
7,10,2,7.902114e+01
7,10,3,7.863465e+01
7,10,5,7.425821e+01
7,10,10,5.421511e+01
7,10,20,4.752078e+01
7,10,30,4.723487e+01
7,10,40,4.723403e+01
7,10,50,4.723402e+01
7,10,60,4.723402e+01
7,10,70,4.723402e+01
7,10,80,4.723402e+01
7,10,90,4.723402e+01
7,10,100,4.723402e+01
7,10,1,1.448937e+02
7,10,2,9.976105e+01
7,10,3,9.847748e+01
7,10,5,6.857240e+01
7,10,10,6.696545e+01
7,10,20,5.970365e+01
7,10,30,5.528303e+01
7,10,40,5.518562e+01
7,10,50,5.518552e+01
7,10,60,5.518552e+01
7,10,70,5.518552e+01
7,10,80,5.518552e+01
7,10,90,5.518552e+01
7,10,100,5.518552e+01
7,10,1,1.290121e+02
7,10,2,9.762850e+01
7,10,3,9.692754e+01
7,10,5,8.484347e+01
7,10,10,5.133312e+01
7,10,20,5.061665e+01
7,10,30,5.061585e+01
7,10,40,5.061584e+01
7,10,50,5.061584e+01
7,10,60,5.061584e+01
7,10,70,5.061584e+01
7,10,80,5.061584e+01
7,10,90,5.061584e+01
7,10,100,5.061584e+01
7,10,1,1.163242e+02
7,10,2,1.042622e+02
7,10,3,1.042622e+02
7,10,5,8.758159e+01
7,10,10,8.250543e+01
7,10,20,8.225683e+01
7,10,30,8.225646e+01
7,10,40,8.225646e+01
7,10,50,8.225646e+01
7,10,60,8.225646e+01
7,10,70,8.225646e+01
7,10,80,8.225646e+01
7,10,90,8.225646e+01
7,10,100,8.225646e+01
7,10,1,1.202807e+02
7,10,2,1.057712e+02
7,10,3,9.534553e+01
7,10,5,8.764817e+01
7,10,10,8.711153e+01
7,10,20,8.705141e+01
7,10,30,5.679195e+01
7,10,40,5.672130e+01
7,10,50,5.672119e+01
7,10,60,5.672119e+01
7,10,70,5.672119e+01
7,10,80,5.672119e+01
7,10,90,5.672119e+01
7,10,100,5.672119e+01
7,10,1,1.374947e+02
7,10,2,9.033197e+01
7,10,3,8.885918e+01
7,10,5,6.171296e+01
7,10,10,5.749992e+01
7,10,20,5.742322e+01
7,10,30,5.742314e+01
7,10,40,5.742314e+01
7,10,50,5.742314e+01
7,10,60,5.742314e+01
7,10,70,5.742314e+01
7,10,80,5.742314e+01
7,10,90,5.742314e+01
7,10,100,5.742314e+01
7,10,1,1.138576e+02
7,10,2,9.551916e+01
7,10,3,9.418124e+01
7,10,5,7.787317e+01
7,10,10,7.645880e+01
7,10,20,7.640473e+01
7,10,30,5.137472e+01
7,10,40,5.128442e+01
7,10,50,5.128409e+01
7,10,60,5.128408e+01
7,10,70,5.128408e+01
7,10,80,5.128408e+01
7,10,90,5.128408e+01
7,10,100,5.128408e+01
7,10,1,1.168563e+02
7,10,2,1.110143e+02
7,10,3,8.829557e+01
7,10,5,5.854760e+01
7,10,10,5.591633e+01
7,10,20,5.369376e+01
7,10,30,5.360254e+01
7,10,40,5.360238e+01
7,10,50,5.360238e+01
7,10,60,5.360238e+01
7,10,70,5.360238e+01
7,10,80,5.360238e+01
7,10,90,5.360238e+01
7,10,100,5.360238e+01
7,10,1,1.264348e+02
7,10,2,8.580764e+01
7,10,3,8.575530e+01
7,10,5,7.463987e+01
7,10,10,6.207925e+01
7,10,20,6.201157e+01
7,10,30,6.201148e+01
7,10,40,6.201147e+01
7,10,50,6.201147e+01
7,10,60,6.201147e+01
7,10,70,6.201147e+01
7,10,80,5.838712e+01
7,10,90,5.834421e+01
7,10,100,5.834369e+01
7,10,1,1.466220e+02
7,10,2,8.817082e+01
7,10,3,8.760387e+01
7,10,5,5.257374e+01
7,10,10,4.715383e+01
7,10,20,3.980583e+01
7,10,30,3.980398e+01
7,10,40,3.980393e+01
7,10,50,3.980393e+01
7,10,60,3.980393e+01
7,10,70,3.980393e+01
7,10,80,3.980393e+01
7,10,90,3.980393e+01
7,10,100,3.980393e+01
7,10,1,1.065768e+02
7,10,2,7.020516e+01
7,10,3,6.974441e+01
