funcid,dim,milestone,error
18,10,1,1.414821e+04
18,10,2,1.022433e+04
18,10,3,8.944067e+03
18,10,5,8.924342e+03
18,10,10,8.819978e+03
18,10,20,8.643578e+03
18,10,30,8.214945e+03
18,10,40,8.060911e+03
18,10,50,7.597879e+03
18,10,60,7.021251e+03
18,10,70,6.804195e+03
18,10,80,6.609367e+03
18,10,90,6.607659e+03
18,10,100,6.607658e+03
18,10,1,1.032461e+05
18,10,2,5.237499e+04
18,10,3,4.600755e+04
18,10,5,4.593674e+04
18,10,10,4.247248e+04
18,10,20,4.151933e+04
18,10,30,3.942518e+04
18,10,40,3.589887e+04
18,10,50,3.564189e+04
18,10,60,3.513007e+04
18,10,70,3.401167e+04
18,10,80,3.369371e+04
18,10,90,3.367672e+04
18,10,100,3.323980e+04
18,10,1,4.009363e+05
18,10,2,4.642072e+04
18,10,3,2.323330e+04
18,10,5,2.248696e+04
18,10,10,2.231823e+04
18,10,20,2.189117e+04
18,10,30,2.157680e+04
18,10,40,2.064335e+04
18,10,50,2.054432e+04
18,10,60,2.053534e+04
18,10,70,2.050354e+04
18,10,80,2.046234e+04
18,10,90,2.029984e+04
18,10,100,1.999081e+04
18,10,1,3.422227e+04
18,10,2,1.336926e+04
18,10,3,1.057119e+04
18,10,5,9.496289e+03
18,10,10,9.458860e+03
18,10,20,9.379880e+03
18,10,30,7.926617e+03
18,10,40,7.583984e+03
18,10,50,6.843005e+03
18,10,60,6.149294e+03
18,10,70,5.525056e+03
18,10,80,5.186629e+03
18,10,90,4.921309e+03
18,10,100,4.384534e+03
18,10,1,4.163480e+04
18,10,2,9.588123e+03
18,10,3,8.738169e+03
18,10,5,8.632295e+03
18,10,10,8.486840e+03
18,10,20,8.130849e+03
18,10,30,6.593255e+03
18,10,40,5.921300e+03
18,10,50,3.903524e+03
18,10,60,1.058658e+03
18,10,70,1.056162e+03
18,10,80,1.056162e+03
18,10,90,9.860287e+02
18,10,100,8.673410e+02
18,10,1,6.432941e+04
18,10,2,3.413797e+04
18,10,3,3.341516e+04
18,10,5,3.336535e+04
18,10,10,3.322355e+04
18,10,20,3.321451e+04
18,10,30,3.318204e+04
18,10,40,3.313605e+04
18,10,50,3.309529e+04
18,10,60,3.301479e+04
18,10,70,3.300479e+04
18,10,80,3.294234e+04
18,10,90,3.293917e+04
18,10,100,3.287997e+04
18,10,1,2.547358e+05
18,10,2,3.380743e+04
18,10,3,2.294161e+04
18,10,5,1.971653e+04
18,10,10,1.808252e+04
18,10,20,1.446401e+04
18,10,30,1.181090e+04
18,10,40,1.001024e+04
18,10,50,9.426189e+03
18,10,60,8.859235e+03
18,10,70,7.063136e+03
18,10,80,7.063136e+03
18,10,90,7.063136e+03
18,10,100,7.035047e+03
18,10,1,1.126066e+05
18,10,2,1.986034e+04
18,10,3,1.739438e+03
18,10,5,1.615918e+03
18,10,10,1.595985e+03
18,10,20,1.323109e+03
18,10,30,7.738192e+02
18,10,40,5.275132e+02
18,10,50,4.950491e+02
18,10,60,4.922895e+02
18,10,70,4.903506e+02
18,10,80,4.895355e+02
18,10,90,4.887818e+02
18,10,100,4.886152e+02
18,10,1,2.784104e+05
18,10,2,3.044335e+04
18,10,3,6.387344e+03
18,10,5,5.637479e+03
18,10,10,5.469090e+03
18,10,20,5.058073e+03
18,10,30,4.824745e+03
18,10,40,4.810075e+03
18,10,50,4.364152e+03
18,10,60,4.302649e+03
18,10,70,4.287587e+03
18,10,80,4.216829e+03
18,10,90,3.207996e+03
18,10,100,2.806205e+03
18,10,1,1.310550e+05
18,10,2,3.123092e+04
18,10,3,1.559100e+03
18,10,5,7.432405e+02
18,10,10,7.078070e+02
18,10,20,6.316865e+02
18,10,30,4.722313e+02
18,10,40,2.764742e+02
18,10,50,2.378772e+02
18,10,60,2.128826e+02
18,10,70,1.601313e+02
18,10,80,5.123364e+01
18,10,90,3.865779e+01
18,10,100,3.734489e+01
18,10,1,3.692561e+05
18,10,2,2.877429e+04
18,10,3,1.753091e+04
18,10,5,1.751594e+04
18,10,10,1.564251e+04
18,10,20,6.844487e+03
18,10,30,5.919311e+02
18,10,40,3.793003e+02
18,10,50,1.978650e+02
18,10,60,1.668869e+02
18,10,70,1.665924e+02
18,10,80,1.664512e+02
18,10,90,1.662530e+02
18,10,100,9.500111e+01
18,10,1,5.164267e+04
18,10,2,4.542264e+04
18,10,3,3.843432e+04
18,10,5,3.830662e+04
18,10,10,3.796577e+04
