alg,fitness
RandomSearch,-0.652996
RandomSearch,-0.602209
RandomSearch,-0.408092
RandomSearch,-0.573884
RandomSearch,-0.489094
RandomSearch,-0.531938
RandomSearch,-0.652213
RandomSearch,-0.618686
RandomSearch,-0.588312
RandomSearch,-0.684441
RandomSearch,-0.646773
RandomSearch,-0.508562
RandomSearch,-0.507676
RandomSearch,-0.638191
RandomSearch,-0.52846
RandomSearch,-0.547647
RandomSearch,-0.665335
RandomSearch,-0.579115
RandomSearch,-0.689938
RandomSearch,-0.540502
RandomSearch,-0.68101
RandomSearch,-0.650508
RandomSearch,-0.593435
RandomSearch,-0.669322
RandomSearch,-0.428499
RandomSearch,-0.625627
RandomSearch,-0.597
RandomSearch,-0.591252
RandomSearch,-0.566312
RandomSearch,-0.53256
RandomSearch,-0.540689
RandomSearch,-0.61697
RandomSearch,-0.500944
RandomSearch,-0.548505
RandomSearch,-0.533582
RandomSearch,-0.542892
RandomSearch,-0.627113
RandomSearch,-0.652092
RandomSearch,-0.528526
RandomSearch,-0.515538
RandomSearch,-0.59811
RandomSearch,-0.622153
RandomSearch,-0.475105
RandomSearch,-0.497257
RandomSearch,-0.482366
RandomSearch,-0.627412
RandomSearch,-0.648723
RandomSearch,-0.620841
RandomSearch,-0.577344
RandomSearch,-0.492932
GreedySearch,-0.212806
LocalSearch,-0.306597
LocalSearch,-0.381252
LocalSearch,-0.386052
LocalSearch,-0.35836
LocalSearch,-0.388699
LocalSearch,-0.352249
LocalSearch,-0.302886
LocalSearch,-0.374732
LocalSearch,-0.369272
LocalSearch,-0.345433
LocalSearch,-0.357093
LocalSearch,-0.365577
LocalSearch,-0.39008
LocalSearch,-0.373134
LocalSearch,-0.395609
LocalSearch,-0.377781
LocalSearch,-0.415612
LocalSearch,-0.331674
LocalSearch,-0.324898
LocalSearch,-0.341707
LocalSearch,-0.397254
LocalSearch,-0.342294
LocalSearch,-0.396845
LocalSearch,-0.329039
LocalSearch,-0.410677
LocalSearch,-0.388037
LocalSearch,-0.373802
LocalSearch,-0.348763
LocalSearch,-0.374363
LocalSearch,-0.384145
LocalSearch,-0.339729
LocalSearch,-0.363718
LocalSearch,-0.353949
LocalSearch,-0.398878
LocalSearch,-0.380277
LocalSearch,-0.331011
LocalSearch,-0.265407
LocalSearch,-0.39726
LocalSearch,-0.365702
LocalSearch,-0.374833
LocalSearch,-0.384969
LocalSearch,-0.41004
LocalSearch,-0.34699
LocalSearch,-0.257018
LocalSearch,-0.347562
LocalSearch,-0.37696
LocalSearch,-0.441464
LocalSearch,-0.387993
LocalSearch,-0.324596
LocalSearch,-0.327319
LocalSearchBest,-0.297856
LocalSearchBest,-0.775512
LocalSearchBest,-0.487798
LocalSearchBest,-0.315395
LocalSearchBest,-0.711512
LocalSearchBest,-0.322636
LocalSearchBest,-0.395203
LocalSearchBest,-0.374666
LocalSearchBest,-0.4147
LocalSearchBest,-0.355596
LocalSearchBest,-0.497825
LocalSearchBest,-0.356985
LocalSearchBest,-0.837583
LocalSearchBest,-0.293723
LocalSearchBest,-0.351903
LocalSearchBest,-0.813545
LocalSearchBest,-0.308198
LocalSearchBest,-0.313042
LocalSearchBest,-0.285385
LocalSearchBest,-0.281021
LocalSearchBest,-0.665977
LocalSearchBest,-0.277957
LocalSearchBest,-0.571829
LocalSearchBest,-0.271968
LocalSearchBest,-0.795935
LocalSearchBest,-0.443328
LocalSearchBest,-0.374954
LocalSearchBest,-0.309185
LocalSearchBest,-0.458188
LocalSearchBest,-0.663383
LocalSearchBest,-0.262523
LocalSearchBest,-0.30615
LocalSearchBest,-0.315903
LocalSearchBest,-0.724897
LocalSearchBest,-0.489572
LocalSearchBest,-0.412543
LocalSearchBest,-0.246083
LocalSearchBest,-0.627696
LocalSearchBest,-0.56186
LocalSearchBest,-0.5864
LocalSearchBest,-0.543969
LocalSearchBest,-0.533436
LocalSearchBest,-0.385713
LocalSearchBest,-0.231978
LocalSearchBest,-0.488969
LocalSearchBest,-0.295056
LocalSearchBest,-0.911006
LocalSearchBest,-0.475991
LocalSearchBest,-0.269663
LocalSearchBest,-0.317735
LocalSearchMulti,-0.306597
LocalSearchMulti,-0.302051
LocalSearchMulti,-0.283126
LocalSearchMulti,-0.288349
LocalSearchMulti,-0.30749
LocalSearchMulti,-0.288734
LocalSearchMulti,-0.273568
LocalSearchMulti,-0.320446
LocalSearchMulti,-0.282375
LocalSearchMulti,-0.318157
LocalSearchMulti,-0.289648
LocalSearchMulti,-0.31695
LocalSearchMulti,-0.285109
LocalSearchMulti,-0.313601
LocalSearchMulti,-0.332915
LocalSearchMulti,-0.298545
LocalSearchMulti,-0.305027
LocalSearchMulti,-0.331674
