alg,fitness
RandomSearch,0.21793
RandomSearch,0.214914
RandomSearch,0.300251
RandomSearch,0.21147
RandomSearch,0.29824
RandomSearch,0.249906
RandomSearch,0.254422
RandomSearch,0.20872
RandomSearch,0.236747
RandomSearch,0.233922
RandomSearch,0.252186
RandomSearch,0.280083
RandomSearch,0.280437
RandomSearch,0.232335
RandomSearch,0.211581
RandomSearch,0.21851
RandomSearch,0.28414
RandomSearch,0.274478
RandomSearch,0.229247
RandomSearch,0.202691
RandomSearch,0.199996
RandomSearch,0.220127
RandomSearch,0.271809
RandomSearch,0.235806
RandomSearch,0.228531
RandomSearch,0.250995
RandomSearch,0.252081
RandomSearch,0.234387
RandomSearch,0.259276
RandomSearch,0.243209
RandomSearch,0.251762
RandomSearch,0.215538
RandomSearch,0.233408
RandomSearch,0.221044
RandomSearch,0.271753
RandomSearch,0.212695
RandomSearch,0.229012
RandomSearch,0.232876
RandomSearch,0.29544
RandomSearch,0.237169
RandomSearch,0.201138
RandomSearch,0.268249
RandomSearch,0.282573
RandomSearch,0.20662
RandomSearch,0.241383
RandomSearch,0.225132
RandomSearch,0.25126
RandomSearch,0.262895
RandomSearch,0.255596
RandomSearch,0.258142
GreedySearch,1.04299
LocalSearch,0.286544
LocalSearch,0.262627
LocalSearch,0.167218
LocalSearch,0.442582
LocalSearch,0.312119
LocalSearch,0.296134
LocalSearch,0.30097
LocalSearch,0.188152
LocalSearch,0.415435
LocalSearch,0.220121
LocalSearch,0.148899
LocalSearch,0.455857
LocalSearch,0.405507
LocalSearch,0.498867
LocalSearch,0.413427
LocalSearch,0.345931
LocalSearch,0.398776
LocalSearch,0.426517
LocalSearch,0.458224
LocalSearch,0.23993
LocalSearch,0.461451
LocalSearch,0.37082
LocalSearch,0.465855
LocalSearch,0.340336
LocalSearch,0.526845
LocalSearch,0.420501
LocalSearch,0.424632
LocalSearch,0.43193
LocalSearch,0.221606
LocalSearch,0.463104
LocalSearch,0.295547
LocalSearch,0.437133
LocalSearch,0.314275
LocalSearch,0.268354
LocalSearch,0.454353
LocalSearch,0.228253
LocalSearch,0.426456
LocalSearch,0.551445
LocalSearch,0.375118
LocalSearch,0.54605
LocalSearch,0.425447
LocalSearch,0.439839
LocalSearch,0.20905
LocalSearch,0.398584
LocalSearch,0.335022
LocalSearch,0.401722
LocalSearch,0.111429
LocalSearch,0.464338
LocalSearch,0.464835
LocalSearch,0.446966
LocalSearchBest,-0.06314
LocalSearchBest,-0.174114
LocalSearchBest,-0.188468
LocalSearchBest,-0.0846787
LocalSearchBest,-0.177511
LocalSearchBest,-0.0929442
LocalSearchBest,-0.0798875
LocalSearchBest,-0.393005
LocalSearchBest,-0.0509112
LocalSearchBest,-0.134329
LocalSearchBest,-0.173011
LocalSearchBest,-0.105663
LocalSearchBest,-0.138332
LocalSearchBest,-0.0961838
LocalSearchBest,-0.130616
LocalSearchBest,0.0501605
LocalSearchBest,0.0221865
LocalSearchBest,-0.114705
LocalSearchBest,-0.0604779
LocalSearchBest,-0.072327
LocalSearchBest,-0.172171
LocalSearchBest,-0.262415
LocalSearchBest,-0.100531
LocalSearchBest,-0.0350047
LocalSearchBest,-0.0608007
LocalSearchBest,-0.146207
LocalSearchBest,-0.0832733
LocalSearchBest,-0.12272
LocalSearchBest,-0.27859
LocalSearchBest,-0.0841222
LocalSearchBest,-0.123344
LocalSearchBest,-0.164882
LocalSearchBest,-0.0757411
LocalSearchBest,-0.0984238
LocalSearchBest,-0.112341
LocalSearchBest,-0.126332
LocalSearchBest,-0.123969
LocalSearchBest,-0.00331139
LocalSearchBest,-0.196789
LocalSearchBest,0.0811859
LocalSearchBest,-0.171105
LocalSearchBest,-0.204193
LocalSearchBest,-0.0930855
LocalSearchBest,-0.204502
LocalSearchBest,-0.27655
LocalSearchBest,-0.186858
LocalSearchBest,-0.272769
LocalSearchBest,-0.0869558
LocalSearchBest,-0.0787116
LocalSearchBest,-0.10991
LocalSearchMulti,0.286544
LocalSearchMulti,0.262627
LocalSearchMulti,0.167218
LocalSearchMulti,0.442582
LocalSearchMulti,0.312119
LocalSearchMulti,0.296134
LocalSearchMulti,0.30097
LocalSearchMulti,0.188152
LocalSearchMulti,0.415435
LocalSearchMulti,0.444581
LocalSearchMulti,0.406913
LocalSearchMulti,0.455857
LocalSearchMulti,0.405507
LocalSearchMulti,0.498867
LocalSearchMulti,0.413427
LocalSearchMulti,0.345931
LocalSearchMulti,0.398776
LocalSearchMulti,0.426517
LocalSearchMulti,0.458224
LocalSearchMulti,0.23993
LocalSearchMulti,0.461451
LocalSearchMulti,0.37082
LocalSearchMulti,0.465855
LocalSearchMulti,0.340336
LocalSearchMulti,0.526845
LocalSearchMulti,0.420501
LocalSearchMulti,0.424632
LocalSearchMulti,0.43193
LocalSearchMulti,0.221606
LocalSearchMulti,0.463104
LocalSearchMulti,0.295547
LocalSearchMulti,0.437133
LocalSearchMulti,0.314275
LocalSearchMulti,0.268354
LocalSearchMulti,0.454353
LocalSearchMulti,0.228253
LocalSearchMulti,0.426456
LocalSearchMulti,0.551445
LocalSearchMulti,0.375118
LocalSearchMulti,0.54605
LocalSearchMulti,0.425447
LocalSearchMulti,0.439839
LocalSearchMulti,0.20905
LocalSearchMulti,0.398584
LocalSearchMulti,0.335022
LocalSearchMulti,0.401722
LocalSearchMulti,0.35618
LocalSearchMulti,0.464338
LocalSearchMulti,0.464835
LocalSearchMulti,0.446966
