alg,fitness
RANDOMSEARCH,-4.97902
RANDOMSEARCH,-4.8745
RANDOMSEARCH,-4.89467
RANDOMSEARCH,-4.92009
RANDOMSEARCH,-4.93231
RANDOMSEARCH,-4.87492
RANDOMSEARCH,-5.02537
RANDOMSEARCH,-4.9909
RANDOMSEARCH,-4.92343
RANDOMSEARCH,-4.77533
RANDOMSEARCH,-5.04711
RANDOMSEARCH,-4.76653
RANDOMSEARCH,-4.83881
RANDOMSEARCH,-4.82278
RANDOMSEARCH,-4.93016
RANDOMSEARCH,-4.87773
RANDOMSEARCH,-4.90144
RANDOMSEARCH,-4.94866
RANDOMSEARCH,-4.9344
RANDOMSEARCH,-5.02714
RANDOMSEARCH,-5.02649
RANDOMSEARCH,-4.86268
RANDOMSEARCH,-4.95261
RANDOMSEARCH,-4.93289
RANDOMSEARCH,-4.75485
RANDOMSEARCH,-4.95538
RANDOMSEARCH,-4.77458
RANDOMSEARCH,-4.92393
RANDOMSEARCH,-4.85036
RANDOMSEARCH,-4.96898
RANDOMSEARCH,-4.73075
RANDOMSEARCH,-4.92982
RANDOMSEARCH,-4.80301
RANDOMSEARCH,-4.88282
RANDOMSEARCH,-5.01974
RANDOMSEARCH,-5.13634
RANDOMSEARCH,-4.91034
RANDOMSEARCH,-5.06159
RANDOMSEARCH,-5.0285
RANDOMSEARCH,-4.8862
RANDOMSEARCH,-4.97228
RANDOMSEARCH,-4.84469
RANDOMSEARCH,-4.86256
RANDOMSEARCH,-4.9253
RANDOMSEARCH,-4.76153
RANDOMSEARCH,-4.78931
RANDOMSEARCH,-5.03067
RANDOMSEARCH,-5.00805
RANDOMSEARCH,-4.79048
RANDOMSEARCH,-4.90237
GREEDYSEARCH,-4.7941
LOCALSEARCH,-4.58683
LOCALSEARCH,-4.67385
LOCALSEARCH,-4.62091
LOCALSEARCH,-4.57486
LOCALSEARCH,-4.64661
LOCALSEARCH,-4.58297
LOCALSEARCH,-4.60609
LOCALSEARCH,-4.62004
LOCALSEARCH,-4.63033
LOCALSEARCH,-4.5607
LOCALSEARCH,-4.60596
LOCALSEARCH,-4.63628
